Sezon;NUT_ID;Wynagrodzenie;Mecze;Wszystkie_zbiorki;Asysty;Przechwyty;Bloki;Straty;Punkty
2003/04;7;7392210,526;70,10526316;418,2105263;181,6315789;66,73684211;71,10526316;120,7368421;610,3928571
2003/04;1;5130600;63,45714286;297,4;155,6857143;55,37142857;40,71428571;98,48571429;672,6571429
2003/04;2;6105666,667;59;300,7333333;151,7333333;55,26666667;36,83333333;97,56666667;699,0333333
2003/04;3;6327230,769;61,79487179;269,6410256;154,0512821;53,82051282;29,69230769;101,6923077;642,8974359
2003/04;4;5233428,571;51,33333333;253,9047619;116,2380952;40,9047619;25,66666667;81;569,0952381
2003/04;5;5443214,286;62,39285714;318,9642857;119;54,82142857;42,46428571;90,07142857;610,3928571
2004/05;7;7310117,647;62,70588235;319,2352941;142,8823529;51,52941176;62,47058824;101,9411765;673,4705882
2004/05;1;7709454,545;48,57575758;230,4242424;95,72727273;36,42424242;30,93939394;66,66666667;483,5454545
2004/05;2;5393045,455;54,77272727;230,9545455;154,4545455;44,04545455;19,13636364;89,22727273;713,1818182
2004/05;3;8369810,811;48;242,2972973;131,3513514;45,02702703;21,97297297;90,35135135;657,0540541
2004/05;4;6745304,348;53,47826087;234,6956522;89,43478261;40,60869565;33,13043478;74;500,6956522
2004/05;5;5517055,556;51;252,8888889;79,44444444;33,55555556;35,5;64,94444444;429,7222222
2005/06;7;3733305,153;58,16666667;228,625;116,1527778;39,875;30,48611111;79,19444444;528,25
2005/06;1;4722753,192;57,13793103;229,7241379;109,1551724;39,72413793;29,06896552;73,29310345;533,4655172
2005/06;2;4312516,243;54,95714286;241,1857143;128,5285714;41,44285714;26,47142857;77,82857143;582,3285714
2005/06;3;4677061,627;60,28358209;239,4776119;122,8955224;42,07462687;23,20895522;85,62686567;588
2005/06;4;3468919,903;55,75;230,7361111;108,9861111;42,61111111;26,34722222;78,31944444;544,5972222
2005/06;5;3986091,515;57,41176471;239,9117647;125,25;40,66176471;26,13235294;78,26470588;565,9852941
2006/07;7;4356919,754;58,05797101;244,3478261;123,7971014;40,02898551;26,31884058;85,49275362;566,7391304
2006/07;1;4150685,214;59,51785714;240;119,4821429;40,07142857;27,94642857;80,33928571;574,375
2006/07;2;4331664,831;55,16901408;230,9014085;130,9577465;43,67605634;27,63380282;84,61971831;594,915493
2006/07;3;3814782,784;55,37837838;220,3378378;116,5945946;37,62162162;21,2972973;80,86486486;525,2702703
2006/07;4;3648106,473;54,87837838;220,9054054;111,4054054;40,36486486;27,37837838;79,85135135;526,3918919
2006/07;5;3920740,229;57,72857143;238,6571429;121,8428571;42,3;27,51428571;79,58571429;551,4142857
2007/08;7;4 196 440;58,17307692;250,6730769;139,3846154;45,46153846;28,73076923;81,5;608,5576923
2007/08;1;4 101 727;56,71794872;229,9230769;114,974359;36,3974359;23,5;68,29487179;522,974359
2007/08;2;4 112 128;52,37333333;226,1866667;122,2533333;39,90666667;27,04;75,01333333;562,6533333
2007/08;3;4 458 792;57,27142857;234,6142857;110,2857143;40,41428571;24,82857143;74,11428571;553,3285714
2007/08;4;4 463 044;58,33870968;255,9193548;130,0645161;45,5483871;29,17741935;84,56451613;609,6612903
2007/08;5;4 482 408;56,04166667;236,6666667;124,7361111;40,80555556;28,33333333;75,86111111;553,1944444
2008/09;7;3916731,732;55,88732394;232,3521127;121,5915493;42,14084507;26,95774648;78,45070423;549,2535211
2008/09;1;4435081,685;55,53424658;225,6849315;107,0410959;37,50684932;24,43835616;68,31506849;529,5068493
2008/09;2;4631634,859;53,90140845;224,7746479;119,7042254;41,95774648;29,3943662;78,78873239;575,7042254
2008/09;3;5164236,127;54,1971831;232,1267606;109,6760563;40,08450704;24,29577465;73,61971831;552,5352113
2008/09;4;4694011,389;55,98611111;229,8194444;117,5555556;41,88888889;28,02777778;75,41666667;557,0555556
2008/09;5;5122105,299;58,71641791;253,119403;130,761194;42,47761194;29,02985075;78,34328358;608,2985075
2009/10;7;3870383,25;55,5;239,2222222;118,0972222;40,95833333;27,66666667;76,13888889;550,5694444
2009/10;1;4748689,551;58,55072464;252,7536232;129,942029;44,72463768;27,33333333;78,66666667;599,173913
2009/10;2;4244172,543;54,67142857;229,4142857;120,0571429;39,01428571;25,95714286;77,9;570,9142857
2009/10;3;4630334,278;55,06944444;221,8888889;113,9861111;39,58333333;25,69444444;74,29166667;549,0138889
2009/10;4;4794601,931;56,45833333;225,1388889;112,7222222;39,09722222;28,68055556;74,33333333;538,1527778
2009/10;5;4508845,761;57,30985915;239,028169;122,6197183;40,09859155;27,02816901;76,07042254;568,3239437
2010/11;7;4329682,676;56,11267606;234,9295775;121,6197183;41,63380282;30,23943662;78,3943662;560,5211268
2010/11;1;4707173,716;58,68918919;233,4189189;125,3108108;43,97297297;25,48648649;74,16216216;570,3378378
2010/11;2;4450468,642;59,35820896;251,5970149;131,5074627;43,95522388;28,08955224;84,46268657;602,1641791
2010/11;3;4149287,872;52,91025641;213,2948718;115,2051282;37,74358974;23,98717949;69,91025641;527,1025641
2010/11;4;4429756,319;54;220,1388889;111,0138889;36,86111111;26,75;74,01388889;524,75
2010/11;5;4208767,141;57,70422535;227,7746479;117,0704225;40,29577465;27,01408451;73,97183099;535,8309859
2011/12;7;3807324,458;45,97222222;187,2777778;92,48611111;33,23611111;25,31944444;64,06944444;440,6805556
2011/12;1;4077900,556;42,02469136;172,0493827;87,86419753;32,77777778;19,87654321;57,45679012;389,9753086
2011/12;2;4346729,257;46,45714286;191,9142857;97,8;33,21428571;21,97142857;61,22857143;447,7
2011/12;3;3896183,802;40,28395062;165,1481481;80,14814815;30,38271605;19,25925926;54,14814815;365,6049383
2011/12;4;4284530,041;43,45205479;172,4246575;84,78082192;32,05479452;20,68493151;58,20547945;387,6849315
2011/12;5;3992189,658;46,79452055;187,9315068;91,98630137;33,42465753;22,36986301;61,84931507;427,4794521
2012/13;7;4250103,253;56,06666667;222,6666667;122,7333333;44,65333333;31,13333333;76,8;538,0533333
2012/13;1;3564234,821;52,21794872;210,7564103;107,6025641;39,07692308;26,21794872;67,87179487;485,1794872
2012/13;2;4952235,778;59,6031746;237,5079365;134,6031746;46,15873016;25,87301587;83,58730159;593,4444444
2012/13;3;4271936,099;50,98765432;199,1234568;104,8395062;37,79012346;22,04938272;65,7654321;476,2592593
2012/13;4;4678710,846;56,52307692;230,5846154;124,1384615;42,01538462;27,63076923;76,21538462;532,1692308
2012/13;5;4111409,111;57,5;244,1111111;123,1111111;42,29166667;30,84722222;78,04166667;519,1666667
2013/14;7;4342144,164;60,49253731;259,1641791;132,5671642;43,34328358;28,76119403;83,65671642;614,3880597
2013/14;1;4241534,486;53,95945946;218,7567568;116,9459459;40,48648649;25,82432432;71,52702703;532,1621622
2013/14;2;4383441,149;57,70149254;255,2089552;131,5074627;45,67164179;28,1641791;86,35820896;610,8955224
2013/14;3;5011196,227;56,31818182;221,9848485;108,9090909;43,65151515;22,12121212;73,83333333;531,3636364
2013/14;4;4260384,541;57,49180328;240,0491803;129,2786885;45,8852459;27,09836066;80,18032787;590,5409836
2013/14;5;4169765,803;58,18309859;258,7323944;127,6760563;42,04225352;28,18309859;83,52112676;569,2253521
2014/15;7;4098825,974;52,44155844;219,6493506;108,1818182;37,38961039;24,1038961;70;510,4805195
2014/15;1;4588510,468;55,20779221;225,012987;121,2467532;43,96103896;26,07792208;71,66233766;531,8051948
2014/15;2;4276911,792;53,81818182;225,1038961;119,038961;40,68831169;25,20779221;70,64935065;526,8961039
2014/15;3;4001112,679;53,83333333;209,2948718;101,1025641;38,92307692;22,35897436;66,37179487;485,5
2014/15;4;3906205;52,96103896;206,7532468;115,5454545;38,92207792;23,24675325;68,8961039;491,2597403
2014/15;5;4246352,405;55,7972973;247,6891892;118,027027;38,87837838;26,71621622;74,81081081;528,2432432
2015/16;7;4229750,905;58,59459459;245,8783784;120;40,91891892;27,81081081;79,43243243;568,2027027
2015/16;1;4859269,241;52,18987342;212,6202532;107,5443038;40,5443038;23,2278481;64,30379747;501,9240506
2015/16;2;5351152,69;57,4084507;246,3239437;126,7042254;45,56338028;26,71830986;79,21126761;577,7887324
2015/16;3;3772465,211;55,85526316;227,9736842;113,4868421;40,86842105;27,11842105;71,52631579;530,2368421
2015/16;4;4934893,724;57,51315789;235,0394737;130,2236842;44,27631579;28,92105263;75,06578947;568,25
2015/16;5;5372394,423;55,18309859;243,6760563;121,4647887;39,92957746;26,42253521;75,1971831;546,7183099
2016/17;7;5539802,616;57,42465753;252,2191781;124,2054795;40,23287671;27,02739726;77,31506849;601,4383562
2016/17;1;6178468,844;51,92207792;214,4025974;116,3506494;40,46753247;23,8961039;64,88311688;542,5064935
2016/17;2;5801603,385;55,28205128;216,8333333;116,2179487;40,84615385;23,79487179;69,35897436;529,3974359
2016/17;3;5587424;54,50666667;219,7866667;112,4133333;39,57333333;24,78666667;69,88;528,1066667
