Indeks;NUTId;Sezon;ImieNazwisko;Pozycja;Druzyna;Wynagrodzenie;Mecze;Wszystkie_zbiorki;Asysty;Przechwyty;Bloki;Straty;Punkty
47;7;2003/04;Marcus Camby; C;Denver Nuggets;7250000;72;727;132;86;187;98;622
111;7;2003/04;Andre Miller; PG;Denver Nuggets;3317000;82;366;501;142;25;215;1214
150;7;2003/04;Rodney White; SF;Denver Nuggets;1948000;72;165;60;32;20;78;541
225;7;2004/05;Marcus Camby; C;Denver Nuggets;7750000;66;661;152;61;199;103;683
235;7;2004/05;Kenyon Martin; PF;Denver Nuggets;6667000;70;511;170;100;78;149;1087
276;7;2004/05;DerMarr Johnson; SF;Denver Nuggets;4119000;71;151;75;43;18;65;503
368;7;2005/06;Kenyon Martin; PF;Denver Nuggets;10886364;56;353;79;43;52;72;720
378;7;2005/06;Marcus Camby; C;Denver Nuggets;9400000;56;668;115;79;184;92;716
392;7;2005/06;Andre Miller; PG;Denver Nuggets;8100000;82;351;674;106;18;256;1126
417;7;2005/06;Howard Eisley; PG;Denver Nuggets;6906000;32;33;69;11;2;21;101
425;7;2005/06;Ruben Patterson; PF;Denver Nuggets;6353200;71;244;127;76;21;150;858
481;7;2005/06;Eduardo Najera; PF;Denver Nuggets;4190476;64;325;52;53;34;54;347
494;7;2005/06;Carmelo Anthony; PF;Denver Nuggets;3713640;80;394;216;88;42;218;2122
516;7;2005/06;Nene Hilario; C;Denver Nuggets;3039889;1;0;0;0;0;2;0
533;7;2005/06;Earl Boykins; PG;Denver Nuggets;2750000;60;81;230;48;4;83;756
584;7;2005/06;Reggie Evans; C;Denver Nuggets;1760000;67;502;38;40;10;85;377
597;7;2005/06;Greg Buckner; SG;Denver Nuggets;1670000;73;209;127;87;20;52;491
625;7;2005/06;Julius Hodge; SG;Denver Nuggets;1148760;14;7;6;2;0;8;13
666;7;2005/06;Linas Kleiza; SF;Denver Nuggets;879360;61;116;15;10;13;16;213
692;7;2005/06;DerMarr Johnson; SF;Denver Nuggets;719373;58;96;55;25;26;46;354
694;7;2005/06;Francisco Elson; C;Denver Nuggets;719373;72;339;47;54;45;65;352
702;7;2005/06;Charles Smith; SG;Denver Nuggets;719373;22;16;9;5;6;4;80
760;7;2006/07;Allen Iverson; SG;Denver Nuggets;17184375;65;193;468;123;13;268;1709
783;7;2006/07;Kenyon Martin; PF;Denver Nuggets;12068182;2;20;1;0;0;5;19
805;7;2006/07;Marcus Camby; C;Denver Nuggets;8800000;70;816;223;87;231;122;785
819;7;2006/07;Nene Hilario; C;Denver Nuggets;8000000;64;449;77;62;59;127;783
886;7;2006/07;Carmelo Anthony; PF;Denver Nuggets;4694041;65;391;249;77;23;234;1881
888;7;2006/07;Eduardo Najera; PF;Denver Nuggets;4571428;75;310;64;73;26;56;497
906;7;2006/07;Reggie Evans; C;Denver Nuggets;4000000;66;460;45;42;16;95;325
1038;7;2006/07;Steve Blake; PG;Denver Nuggets;1330000;82;169;408;61;8;129;528
1078;7;2006/07;Linas Kleiza; SF;Denver Nuggets;845360;79;266;45;28;14;79;598
1084;7;2006/07;Jamal Sampson; C;Denver Nuggets;774551;22;48;5;2;7;10;24
1100;7;2006/07;DerMarr Johnson; SF;Denver Nuggets;744551;39;57;17;16;12;27;135
1141;7;2006/07;Yakhouba Diawara; SG;Denver Nuggets;412718;64;110;55;30;7;37;284
